date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
10/2/2020,259030,67,666,6269,3,10
10/1/2020,258963,627,801,6266,7,11
9/30/2020,258336,934,876,6259,11,11
9/29/2020,257402,988,901,6248,9,13
9/28/2020,256414,947,909,6239,13,14
9/27/2020,255467,399,950,6226,11,14
9/26/2020,255068,697,954,6215,13,14
9/25/2020,254371,1014,954,6202,13,15
9/24/2020,253357,1150,943,6189,10,15
9/23/2020,252207,1115,931,6179,21,16
9/22/2020,251092,1039,931,6158,17,16
9/21/2020,250053,1234,918,6141,13,16
9/20/2020,248819,430,903,6128,14,17
9/19/2020,248389,696,885,6114,14,17
9/18/2020,247693,938,875,6100,15,18
9/17/2020,246755,1062,879,6085,18,19
9/16/2020,245693,1115,859,6067,20,20
9/15/2020,244578,948,847,6047,19,21
9/14/2020,243630,1132,875,6028,17,22
9/13/2020,242498,303,766,6011,19,24
9/12/2020,242195,627,776,5992,19,24
9/11/2020,241568,965,750,5973,22,24
9/10/2020,240603,920,750,5951,24,25
9/9/2020,239683,1032,763,5927,27,25
9/8/2020,238651,1143,785,5900,29,25
9/7/2020,237508,373,776,5871,26,25
9/6/2020,237135,370,898,5845,21,25
9/5/2020,236765,450,905,5824,21,27
9/4/2020,236315,963,961,5803,29,28
9/3/2020,235352,1008,973,5774,24,27
9/2/2020,234344,1191,997,5750,23,28
9/1/2020,233153,1078,1024,5727,28,29
8/31/2020,232075,1228,1047,5699,30,29
8/30/2020,230847,416,1089,5669,31,29
8/29/2020,230431,842,1100,5638,34,28
8/28/2020,229589,1047,1107,5604,22,29
8/27/2020,228542,1177,1140,5582,30,31
8/26/2020,227365,1379,1163,5552,28,32
8/25/2020,225986,1238,1166,5524,29,34
8/24/2020,224748,1522,1196,5495,26,34
8/23/2020,223226,495,1193,5469,29,35
8/22/2020,222731,893,1200,5440,39,36
8/21/2020,221838,1278,1228,5401,33,36
8/20/2020,220560,1336,1248,5368,39,36
8/19/2020,219224,1397,1271,5329,42,34
8/18/2020,217827,1449,1302,5287,29,33
8/17/2020,216378,1505,1332,5258,37,35
8/16/2020,214873,540,1409,5221,36,36
8/15/2020,214333,1093,1424,5185,33,36
8/14/2020,213240,1417,1452,5152,35,37
8/13/2020,211823,1495,1514,5117,28,36
8/12/2020,210328,1618,1566,5089,32,38
8/11/2020,208710,1658,1622,5057,42,38
8/10/2020,207052,2039,1696,5015,43,39
8/9/2020,205013,648,1715,4972,42,39
8/8/2020,204365,1290,1727,4930,35,38
8/7/2020,203075,1851,1776,4895,33,40
8/6/2020,201224,1857,1817,4862,37,41
8/5/2020,199367,2011,1875,4825,34,41
8/4/2020,197356,2179,1922,4791,49,42
8/3/2020,195177,2166,1979,4742,40,40
8/2/2020,193011,735,2041,4702,40,40
8/1/2020,192276,1636,2049,4662,46,40
7/31/2020,190640,2132,2107,4616,39,40
7/30/2020,188508,2268,2162,4577,42,41
7/29/2020,186240,2338,2211,4535,39,40
7/28/2020,183902,2579,2306,4496,32,42
7/27/2020,181323,2601,2398,4464,42,44
7/26/2020,178722,789,2513,4422,42,44
7/25/2020,177933,2040,2552,4380,47,43
7/24/2020,175893,2519,2597,4333,40,41
7/23/2020,173374,2613,2707,4293,39,40
7/22/2020,170761,2998,2820,4254,49,41
7/21/2020,167763,3228,2825,4205,47,39
7/20/2020,164535,3405,2848,4158,42,39
7/19/2020,161130,1060,2871,4116,37,41
7/18/2020,160070,2358,2896,4079,30,40
7/17/2020,157712,3284,2911,4049,36,41
7/16/2020,154428,3408,2909,4013,43,41
7/15/2020,151020,3034,2898,3970,37,40
7/14/2020,147986,3386,2947,3933,49,40
7/13/2020,144600,3564,2958,3884,57,37
7/12/2020,141036,1239,2838,3827,29,34
7/11/2020,139797,2463,2830,3798,34,36
7/10/2020,137334,3267,2607,3764,40,35
7/9/2020,134067,3333,2356,3724,34,34
7/8/2020,130734,3379,2344,3690,35,35
7/7/2020,127355,3461,2349,3655,33,34
7/6/2020,123894,2722,2289,3622,35,34
7/5/2020,121172,1186,2322,3587,39,34
7/4/2020,119986,902,2309,3548,28,34
7/3/2020,119084,1508,2473,3520,33,34
7/2/2020,117576,3248,2665,3487,41,33
7/1/2020,114328,3418,2620,3446,29,31
6/30/2020,110910,3042,2518,3417,36,32
6/29/2020,107868,2949,2454,3381,32,30
6/28/2020,104919,1094,2390,3349,40,30
6/27/2020,103825,2053,2379,3309,24,28
6/26/2020,101772,2851,2311,3285,31,31
6/25/2020,98921,2933,2161,3254,25,31
6/24/2020,95988,2701,1998,3229,37,32
6/23/2020,93287,2597,1881,3192,21,32
6/22/2020,90690,2501,1762,3171,30,33
6/21/2020,88189,1016,1677,3141,31,33
6/20/2020,87173,1577,1644,3110,39,33
6/19/2020,85596,1804,1590,3071,35,31
6/18/2020,83792,1790,1537,3036,29,31
6/17/2020,82002,1879,1476,3007,40,30
6/16/2020,80123,1765,1423,2967,24,28
6/15/2020,78358,1907,1362,2943,32,30
6/14/2020,76451,785,1318,2911,29,30
6/13/2020,75666,1199,1305,2882,29,31
6/12/2020,74467,1435,1291,2853,31,32
6/11/2020,73032,1362,1286,2822,25,33
6/10/2020,71670,1506,1318,2797,26,36
6/9/2020,70164,1340,1300,2771,36,39
6/8/2020,68824,1600,1306,2735,37,38
6/7/2020,67224,691,1247,2698,35,38
6/6/2020,66533,1103,1222,2663,35,37
6/5/2020,65430,1398,1199,2628,40,38
6/4/2020,64032,1591,1201,2588,45,37
6/3/2020,62441,1378,1161,2543,45,35
6/2/2020,61063,1379,1154,2498,30,35
6/1/2020,59684,1192,1180,2468,36,36
5/31/2020,58492,514,1127,2432,30,35
5/30/2020,57978,944,1126,2402,37,36
5/29/2020,57034,1410,1097,2365,33,36
5/28/2020,55624,1308,1036,2332,32,37
5/27/2020,54316,1328,987,2300,46,37
5/26/2020,52988,1565,964,2254,40,34
5/25/2020,51423,822,881,2214,28,35
5/24/2020,50601,507,928,2186,37,37
5/23/2020,50094,742,934,2149,35,37
5/22/2020,49352,980,939,2114,43,40
5/21/2020,48372,968,972,2071,27,40
5/20/2020,47404,1167,1012,2044,29,41
5/19/2020,46237,983,979,2015,46,42
5/18/2020,45254,1150,995,1969,45,43
5/17/2020,44104,546,1001,1924,37,40
5/16/2020,43558,776,1006,1887,52,39
5/15/2020,42782,1213,996,1835,43,39
5/14/2020,41569,1246,966,1792,32,40
5/13/2020,40323,941,924,1760,41,42
5/12/2020,39382,1095,932,1719,48,44
5/11/2020,38287,1190,954,1671,28,42
5/10/2020,37097,584,915,1643,31,44
5/9/2020,36513,700,898,1612,48,46
5/8/2020,35813,1004,899,1564,50,46
5/7/2020,34809,954,887,1514,50,44
5/6/2020,33855,996,881,1464,53,44
5/5/2020,32859,1253,880,1411,36,42
5/4/2020,31606,914,839,1375,43,45
5/3/2020,30692,465,863,1332,44,44
5/2/2020,30227,706,882,1288,49,43
5/1/2020,29521,920,909,1239,36,42
4/30/2020,28601,910,922,1203,45,43
4/29/2020,27691,990,931,1158,42,44
4/28/2020,26701,966,900,1116,54,45
4/27/2020,25735,1083,889,1062,37,43
4/26/2020,24652,598,868,1025,41,44
4/25/2020,24054,899,851,984,40,44
4/24/2020,23155,1006,810,944,44,43
4/23/2020,22149,974,785,900,50,43
4/22/2020,21175,776,755,850,47,44
4/21/2020,20399,884,765,803,40,42
4/20/2020,19515,936,734,763,47,43
4/19/2020,18579,483,697,716,37,42
4/18/2020,18096,609,689,679,38,42
4/17/2020,17487,831,671,641,39,41
4/16/2020,16656,763,635,602,58,40
4/15/2020,15893,852,609,544,35,37
4/14/2020,15041,663,573,509,47,37
4/13/2020,14378,676,579,462,42,34
4/12/2020,13702,430,558,420,37,31
4/11/2020,13272,481,581,383,30,29
4/10/2020,12791,583,596,353,30,27
4/9/2020,12208,575,625,323,35,27
4/8/2020,11633,605,632,288,40,25
4/7/2020,11028,700,633,248,25,22
4/6/2020,10328,532,625,223,17,21
4/5/2020,9796,590,637,206,24,20
4/4/2020,9206,589,606,182,21,19
4/3/2020,8617,787,577,161,26,17
4/2/2020,7830,618,518,135,22,14
4/1/2020,7212,617,484,113,19,12
3/31/2020,6595,644,458,94,16,10
3/30/2020,5951,615,407,78,11,8
3/29/2020,5336,370,360,67,15,8
3/28/2020,4966,391,343,52,8,6
3/27/2020,4575,373,315,44,9,5
3/26/2020,4202,377,297,35,4,4
3/25/2020,3825,439,274,31,7,4
3/24/2020,3386,283,238,24,3,3
3/23/2020,3103,287,227,21,7,3
3/22/2020,2816,251,217,14,4,2
3/21/2020,2565,192,206,10,3,1
3/20/2020,2373,249,199,7,3,1
3/19/2020,2124,217,184,4,4,1
3/18/2020,1907,186,176,0,0,0
3/17/2020,1721,207,168,0,0,0
3/16/2020,1514,220,152,0,0,0
3/15/2020,1294,169,133,0,0,0
3/14/2020,1125,143,116,0,0,0
3/13/2020,982,149,101,0,0,0
3/12/2020,833,157,86,0,0,0
3/11/2020,676,132,68,0,0,0
3/10/2020,544,96,52,0,0,0
3/9/2020,448,87,40,0,0,0
3/8/2020,361,46,31,0,0,0
3/7/2020,315,41,28,0,0,0
3/6/2020,274,43,NA,0,0,NA
3/5/2020,231,33,NA,0,0,NA
3/4/2020,198,19,NA,0,0,NA
3/3/2020,179,13,NA,0,0,NA
3/2/2020,166,19,NA,0,0,NA
3/1/2020,147,25,NA,0,0,NA
